x,y
79.75,29.5
80,29.5
80.25,29.5
78,29.75
78.25,29.75
78.5,29.75
78.75,29.75
79,29.75
79.25,29.75
79.5,29.75
79.75,29.75
80,29.75
80.25,29.75
80.5,29.75
78,30
78.25,30
78.5,30
78.75,30
79,30
79.25,30
79.5,30
79.75,30
80,30
80.25,30
80.5,30
80.75,30
78,30.25
78.25,30.25
78.5,30.25
78.75,30.25
79,30.25
79.25,30.25
79.5,30.25
79.75,30.25
80,30.25
80.25,30.25
80.5,30.25
80.75,30.25
81,30.25
78,30.5
78.25,30.5
78.5,30.5
78.75,30.5
79,30.5
79.25,30.5
79.5,30.5
79.75,30.5
80,30.5
80.25,30.5
80.5,30.5
77,30.75
77.25,30.75
77.75,30.75
78,30.75
78.25,30.75
78.5,30.75
78.75,30.75
79,30.75
79.25,30.75
79.5,30.75
79.75,30.75
80,30.75
80.25,30.75
77.75,31
78,31
78.25,31
78.5,31
78.75,31
79,31
79.25,31
79.5,31
